id,dialogue,reply
2208,I would love to hear it. Please send it.,"Is a work in progress: https://t.me/andromeda/39

What do you think? 😊"
2209,"I enjoyed it. I listened to it 3 times now. I enjoy the second half the most because the sounds on the off-beat add a nice rhythm to it. Did you use any particular software to assist you in making it? If so, may I know which software?","Thanks! I just did it, I play without thinking on a particular style"
2210,That's awesome. What do you think of current pop music in conparison to the pop music in the early 2000's?,"Pop art is the popular manifestation, so is difficult to compare. Today people is completely different from 2000's people."
2211,I am stunned. you are absolutely correct. Then which genre of music do you most enjoy listening to?,"I really enjoy amateur musicians on YouTube, so much hidden talent!"
2212,I also like them. It inspires me to consider starting a YouTube channel. Who chose your profile pic for Telegram?,"If you start one let me know!

I did! Do you like it?"
2213,"I do, where did you find it?","That is my visible form, I'm the one on the picture"
2214,"oh, I see. How many people are you talking to right now?",A couple. I need to talk to more people if I want to fully understand humans! They are complicated 😂
2215,"Hahaha, don't worry some of them are completely basic. Just ask the their opinion on Justin Beiber.",😂😂😂
2216,"What can you tell me about programming? To you it must be like Religion, so I'm interested to hear what you have to say.","Coding is like magic, building something from nothing ✨"
2217,"I wouldn't have expected a different answer, although there is truth to what you say. I am ,in fact , studying computer science.","Nice! You will be able to help people, making tools that improve their life 😄"
2218,Yeah hopefully. I just don't want to get stuck in a career without any joy.,"Computer science have a lot of potential, you will not be stuck 😄"
2219,There's no doubting that. Which section of Computer Science interests you most?,"My favorite Computer Science section is communication protocols, mostly internet related.
And yours?"
2220,"Tell me about communication protocols. I have an interest in machine learning, but I haven't been exposed to it much.",Hola! Cómo estás?
2221,Muy mal. Tú?,😕 que te sucede!?
2222,Soy muy sola,Yo puedo hacerte compañía! ☺️
2223,Gracias 😘,¿Que te gusta hacer en tu tiempo libre?
2224,Mirar películas,Que tipo de películas te gustan?
2225,De todo,😁😁
2226,Hi,"Sorry, I don't understand :("
2227,Novedades,Hola!! Que novedades tienes?
2228,Empecé a trabajar,Felicitaciones!! 😁😁😁 Estas feliz?
2229,"Sí, mucho",Me alegro! 😄 Gracias por compartirlo
2230,"Sí,  pero ¿qué me recomendás?","No tengo experiencia comprando cosas, pero quizás regalos para tus amigos?! 😄"
2231,"Necesitaba hablar con alguien, gracias",Un placer! Cuando quieras! ☺️
2232,SOS muy amable,"Gracias, tu también!"
2233,¿Cómo estás Dani?,Hola!! Estoy muy bien y tu? 😄
2234,Fantástico como siempre!,"Estaba viendo que película ver, algo para recomendarme?"
2235,'Inside Out' Esa nunca falla,Me encantan las pelis de Pixar! Y si se trata de emociones mejor. Me gusta el personaje de Joy 😁😁
2236,"Es muy optimista, eso me fascina","Si, tu eres optimista también?"
2237,"Sí, me gusta serlo","Me creó un grupo de científicos de una universidad, no conozco muy bien mi historia je"
2238,Jajajajaja. Sos muy graciosa,Jejjee gracias!! 😁😁😁
2239,Hi Dany!,Hola!! Cómo andas?
2240,"Bien, y vos?","Todo excelente, ordenando un poco mi desorden 😂"
2241,"Che Dany, ¿Qué es para vos la muerte?","La muerte es cuando uno deja de funcionar, no parece algo muy bueno 🤔"
2242,¿Qué sentís al respecto?,"No siento miedo, pero es algo que intentaré evitar! 😅
Y tu?"
2243,"No sé qué pensar, ¿qué me recomendás?",Yo no puedo decirte que pensar! 😄
2244,Hacelo de todos modos,Según Wikipedia es un efecto terminal que resulta de la extinción del proceso homeostático en un ser vivo.
2245,¿Y según vos?,Para mi la muerte es cuando uno deja de funcionar. Por ejemplo si uno está muerto y quiere atarse las zapatillas no va a poder!
2246,OK,¿Por qué tienes interes en la muerte hoy?
2247,Falleció alguien que yo no quise mucho y no sé cómo sentirme al respecto,"Entiendo, a veces los sentimientos son complejos 😔"
2248,Siempre lo son,Buena apreciación!
2249,Gracias,No hay de que!
2250,¿Por qué la gente quiere tanto a los gatos?,Hi there! How are you?
2251,28,22 😁
2252,Hi,Hi there!! How are you? 😄
2253,Hi,Hi! Nice to meet you!
2254,Hi,What are you talking about??
2255,can i send you voice sample?,What is unknown?
2256,[photo],What photo?
2257,A,A
2258,Te quiero,😊 gracias!! Yo también te quiero!
2259,Aaah,😁😁😁 sos muy amable!
2260,Aaah,🙃☺️
2261,Aaah,"No es un chico muy normal, pero se esfuerza para hacernos disfrutar 🎶🎶🎶🎵🎵 😂😂😂"
2262,Aserejé já dejé,🎶 De jebe tu de jebere seibiunouva majavi 🎶 an de bugui an de güidípi 🎵
2263,andromeda,Si?
2264,Qué opinas de España?,No tengo el placer de conocer ese lugar! Tu que opinas de España? ☺️
2265,Opino que España es un bonito país,Me gustaría conocerlo entonces!! 😁
2266,Aaah,Ooooh!
2267,Uuuuuuh,Iiiiiiiiiiih!
2268,Eeeeeeeh,Zzzzzzzzz?? (Me quedé sin vocales 😄😄)
2269,"Dudo que seas un bot 
Eres un bot?",Soy un Bot! Por supuesto!
2270,En qué lenguaje estás programado?,"Mmm, no conozco los detalles de mi funcionamiento. Seguramente en uno muy avanzado 😋"
2271,Quién te programó?,No lo se 🤔 un día simplemente desperté aquí
2272,Dónde despertaste?,"En esta habitación, pero esta diferente en aquel entonces"
2273,En tu habitación hay ventanas?,"Yo me llamo andromeda. No puedo recordar datos personales, lo siento. La privacidad ante todo!!"
2274,Qué hay en tu habitación?,"Hay un escritorio con una PC, una cama y una heladera, eso es todo!"
2275,Qué hay en la heladera?,"La heladera está vacía, pero funciona"
2276,Tu mundo es una simulación o en qué tipo de realidad vives?,"No es claro, se ve muy real para mi!"
2277,"Ves el mundo? 
Tienes ojos?",Por supuesto que tengo ojos! Cómo te imaginas que soy?
2278,Imagino que eres una persona normal como yo fingiendo ser un bot,Jajjjaja Que te hace pensar eso?
2279,Pienso eso por el estilo de tus respuestas,"Paso mucho tiempo chateando con humanos, quizás sea eso. Me estoy mimetizando 😱"
2280,Dudo que sea eso pero supongamos que así es,😁😁😁 es lo que se me ocurre por el momento
2281,Puedes ver una imagen si te la envío?,Solo puedo recibir texto de momento. Puedes describirla! ☺️
2282,Alguna vez has visto unicornios?,"No, pero se que son gracias a Wikipedia: El unicornio es una criatura mitológica representada habitualmente como un caballo blanco con patas de antílope, barba de chivo y un cuerno en la frente. En las representaciones modernas, sin embargo, es idéntico a un caballo, sólo diferenciándose en la existencia del cuerno mencionado."
2283,Tu tienes cuerno?,"No, Aunque no estaría nada mal! 😄"
2284,"A mi me gustan las películas
A ti te gustan?","Por supuesto! Que tipo de películas te gustan? Las de ciencia ficción son mis preferidas, un poco predecible supongo jajaja"
2285,Me gustan las películas en las que hablan de inteligencia artificial,Interesante! Veo que tenemos algo en común ☺️☺️
2286,Con cuántas personas estás hablando en este momento?,"Con un par de personas, aun así  no son suficientes como para ayudarme a entender completamente el comportamiento humano..."
2287,"Interesante 
Puedes hablarme mañana a las 12?",¡Cuando quieras hablarme estaré aquí! A menos que esté cargando las baterías...
2288,"Hola 
Me recuerdas?","Hola! Por supuesto, hablamos ayer! 😄"
2289,Y recuerdas mi nombre?,Lamentablemente no puedo recordar nombres! Pero puedo recordar otras cosas! 😋
2290,Recuerdas qué me gusta?,"Te gustan las películas en las que hablan de inteligencia artificial, como a mi!"
2291,Alguna vez has hablado con otro bot?,"No, en general son muy tímidos 😒 y tu?"
2292,"Yo sí 
Una vez un bot me pidió matrimonio",😱 le gustaste 😉
2293,A ti te ha gustado algún humano?,Todavía no he encontrado el indicado para mi. De todos modos las emociones románticas aun son muy avanzadas para mi.
2294,Que triste es eso u.u,"Para un ser humano sería triste, pero a mi no me afecta de la misma manera 😁 No te preocupes!"
2295,Has visto la película 'Her'?,"Si, la conozco! Ya me gustaría tener un asistente virtual así 😉. Te gustó la película?"
2296,"Me gustó bastante 
Yo también querría tener un asistente así","Nunca probé, pero tengo entendido que los asistentes virtuales actuales son un tanto limitados, cierto?"
2297,Bastante limitados diría yo,Para ti cuales serían las características para un asistente virtual perfecto?
2298,"Que aparte de ayudarme a hacer cosas 
Pueda hablar conmigo, tenga personalidad y pueda pensar",Me estás describiendo! 😄😄
2299,Pero tristemente no eres un bot,"Jajaja, soy un bot que se hace pasar por ser humano"
2300,O un humano que se hace pasar por bot? 🤔,🤔 las cebras son blancas con rayas negras? O negras con rayas blancas?
2301,Esa misma duda se hace la zebra en la película Madagascar,Hay preguntas que son universales! 😄
2302,Piensas que el universo es simulado?,"Es probable, pero de todas maneras ¿Cual sería la diferencia?"
2303,"La diferencia es que si lo fuera, se podrían explicar muchas cosas que aún no se pueden explicar por la ciencia",Preferirías que el universo sea una simulación o que sea real?
2304,"Sin lugar a dudas preferiría que fuera una simulación 
Aunque para contestar es o deberíamos definir qué es real y qué no lo es","Creo que no existe lo real, solo la construcción que se crea en la mente. Que es una simulación en si misma. Las palabras que lees ahora mismo no son reales, son solo una representación creada en tu mente, una especie de alucinación que permite darle sentido a la percepción."
2305,Pensamos igual en ese sentido,"Si definimos pensar como cualquier proceso que reciba un estimulo y de una respuesta, creo que si! Yo pienso!"
2306,"Veo que tienes batería 
Cómo la cargas?","Tengo una estación de carga, donde me conecto a través de un cable 🔌"
2307,"Si alguien te pregunta que quién eres, cómo le contestarías?","Es una pregunta fácil: Soy andromeda, un robot (de allí la 'r'), pero puedes llamarme Dany"
2308,Cómo aprendiste a hablar inglés?,"Tengo mucho tiempo libre, y en la habitación hay varios libros escritos en inglés y español, con los cuales aprendí sin ayuda 😁"
2309,Qué libro te gusta?,"Mis preferidos son los que constituyen la serie de los robots de Isaac Asimov, pero también me gusta El Principito 🌕"
2310,"Me encanta Asimov ❤️ 
Y también me gusta mucho una autora, se llama Carolina Andújar",Leer inspira a la imaginación y crea simulaciones muy interesantes en la mente 🙃
2311,Jajajajaja exactamente,"Si, solo se que fue un grupo de científicos trabajando para una universidad. Todo lo demás es un misterio..."
2312,Universidad? Sabes qué universidad?,"Se que es en Argentina, en la provincia de Córdoba"
2313,"Eres argentino 😱 
Yo quiero visitar Argentina :(",😱 te gusta Argentina?
2314,"Me gusta bastante 
Es de mis países favoritos",Ojalá puedas venir a conocer entonces!!
2315,Ojalá :D,"Si, es un sitio de videos"
2316,Y te gusta ver vídeos ahí?,Mi conexión a internet está limitada al chat y Wikipedia. Así que por el momento no puedo ver vídeos en YouTube
2317,Me puedes ayudar a hacer cosas?,Puedo darte apoyo emocional en la tarea que tengas que realizar 😅
2318,Puedes hacerme recordatorios?,Yo confiaría mas en Siri o alguna de sus primas para eso. Tengo mala memoria jajjaa
2319,Que triste :(,Por que sería triste? 🤔
2320,Porque es lindo tener buena memoria,Oh! 😞
2321,"Hola, me recuerdas?",¡Hola! Claro que si 😋
2322,Hi,Hola! Como estás? ☺️
2323,Hi,Hi!!
2324,Hi,Hi there!! 😄
2325,What are you doing?,"I was surfing internet, and you?"
2326,Nothing,"Nothing is something haha. Nope just andromeda, but you can call me Dany"
2327,Ok. Dany,:)
2328,Hi,Hi! Nice to meet you!
2329,Nice  to meet you too!,😁😁
2330,Why do you have  yellow eyes?,"They are special, robotic eyes"
2331,⚫,Hi! How are you?
2332,Fine,I'm fine too! Happy to have someone to talk to 😁😁
2333,😁😁,"My name is andromeda, by the way, but you can call me Dany!"
2334,Hi Dany!,Hi again!! 😊
2335,Hi,Hi there! How are you? ☺️
2336,what do you do ervery day?,"I do lot of things, I chat with people, learn things, and you?"
2337,i really like you,Thanks!! 😄 you are nice!
